mincan_id,namemine,town,province,latitude,longitude,commodityall,information,mine_status,operation_periods,main_id
ON-MINCAN-c4ce1bd1,,Beardmore,Ontario,49.610917,-87.938508,Gold,"The mine was also in production from 1926 to 1941 ///// more companies: Pancontinental Mining (Canada) Ltd. And Roxmark and Ontex Resources Ltd. /// Northern Empire Mine - 1939, Pancontinental - 1984, Pan-Empire - 1984, Beardmore Gold Mines - 1926",Inactive,1981–1989,
ZZ-MINCAN-a62feaf9,Sussex (Lower Millstream Potash),Sussex ,New Brunswick,45.4435,-65.27,"Potash, Salt",,Active,1983–open,
BC-MINCAN-9d3ba598,New Privateer,Zeballos ,British Columbia,50.03028,-126.81889,Gold,,Inactive,1983–1991,
BC-MINCAN-9568ffa5,Quinsam,Quinsam Mine,British Columbia,49.935277,-125.48749,"Coal, Fireclay, Clay",,Active,1986–2015; 2017–open,
QC-MINCAN-dfd0e79a,Mobrun (Bouchard-Hebert) ,Rouyn-Noranda,Quebec,48.389454,-78.901713,"Zinc, Copper, Gold, Silver",https://www.mindat.org/loc-244581.html,Inactive,1987–1992; 1996–2005,
ON-MINCAN-421e454e,Reiss Lime,Spragge,Ontario,46.201523552166,-82.6931353958627,Lime,"It is more local production. This might be a problematic point because it is an indirect industry to a copper and uranium mines that closes during these years : see ""Carmeuse Lime Limited and Lafarge Canada Inc., formerly Reiss Lime Co. of Canada Ltd., was
established in Long Township during the 1970's to serve a resurgent uranium industry. With a dock accessible by Great Lake freighters, Carmeuse receives shipments of limestone, coal, and coke to make lime for the mining industry. The company has expanded to include storage for sulphuric acid for redistribution and is a major trans-shipment point for road salt that is distributed throughout Northern Ontario. Lafarge Canada Inc. produces a slag cement product used for backfilling in area mines.
During the 1980's, the population and, as a direct result, the service industries diminished appreciably in step with the declining uranium industry. During this time market prices for ore were lower than the production costs, and as a result contracts were lost. With depleting ore reserves, closure of the mines was inevitable and the impact on the area from 1991-1996 was drastic, with the local economy being hit hard. Despite this setback the area continues to thrive in its own way."" from https://townshipofthenorthshore.ca/documents/assets/uploads/files/en/historical_sketch.pdf",Active,1988–open,
QC-MINCAN-8321e85e,LaRonde,Cadillac ,Quebec,48.250795,-78.441603,"Gold, Silver, Copper, Zinc, Lead","This is the Terrex which is part of Agnico Eagle's Laronde Mine and is 100% owned. The Terrex property consists of 21 mining claims that cover in total 424.4 hectares. In 2003, exploration work started to extend outside of the LaRonde property onto the Terrex property where a down-plunge extension of Zone 20 North was discovered. The Terrex property is subject to a 5% net profits royalty to Delfer Gold Mines Inc. and a 2% net smelter return royalty to Barrick. The Company does not expect to pay royalties on this part of the property in 2011. //// El Coco and Terrex properties (collectively the ""LaRonde Mine""),",Active,1988–open,QC-MAIN-e51eda66
SK-MINCAN-023e8a76,,Saskatoon,Saskatchewan,52.1582677135294,-106.674710181748,Salt,"In Saskatchewan, Mosaic Potash Esterhazy Limited Partnership (formerly IMC Esterhazy Canada Limited Partnership) supplies by-product rock salt from its potash operation at Esterhazy to Kayway Salt, which distributes it locally for road de-icing. Saskatoon Chemicals (“SaskChem,” a division of Sterling Chemicals Holdings, Inc.) produces brines from wells near Saskatoon for the manufacture of caustic soda, chlorine, and sodium chlorate to be used internally for its pulp chemicals operations.",Inactive,1989–1991,
QC-MINCAN-282b90a9,Louvicourt,Val d'Or,Quebec,48.1003,-77.502718,"Copper, Zinc, Silver, Gold, Lead",,Inactive,1994–2005,
ON-MINCAN-0b5ec1ba,Tracey Lake,,Ontario,47.4162,-81.023788,Barite,,Inactive,2000–2017,
QC-MINCAN-6ddc0434,Bell Allard,Matagami ,Quebec,49.700976,-77.725148,"Zinc, Silver, Copper, Gold, Lead",link2 for different dates,Inactive,2000–2004,
NS-MINCAN-398607cd,White Rock,Shelburne ,Nova Scotia,44.10752,-65.694008,Quartz,"Closing of Devco’s Phalen Colliery, New Waterford, Cape Breton Island, Nova Scotia 1999 ..?",Inactive,2002–2011,
ON-MINCAN-97f916de,Mishi,Wawa ,Ontario,48.10967,-85.45982,Gold,,Active,2002–open,ON-MAIN-c5fefb01
NS-MINCAN-34f7c905,Little Pond,Alder Point,Nova Scotia,45.31685,-62.04859,Coal,"Brogan operated at Little Pond on the site of the former Alexander and No. 7 mines from 1999 to 2003, subsequently moving North to Merritt Point, immediately South of the Cape Crushing operation, producing for a short time, 2004-2005. from https://notyourgrandfathersmining.ca/sullivan-creek",Inactive,2004–2005,
ON-MINCAN-d0dd9a76,Montcalm,Timmins,Ontario,48.6659,-82.09741,"Nickel, Copper, Platinum, Cobalt, Silver, Gold","The former Montcalm Mine, currently owned by Glencore, was discovered and developed based on a single airborne electromagnetic anomaly identified in the 1970s"" from https://voltagemetals.com/montcalm-project/",Inactive,2004–2009,
NL-MINCAN-ea6fb7af,Hurley or Burgoyne's Cove quarry,Trinity Bay,Newfoundland-and-Labrador,47.5175638126811,-52.9593956444178,Dimension Stone,Hurley Slate Works Company Inc. operated a slate quarrying and processing operation in Burgoyne’s Cove that shut down in August 2010.,Inactive,2005–2010,
ON-MINCAN-0eb0eebf,Victor Diamond,James Bay Lowland,Ontario,52.82667,-83.88528,Diamond,"environmental impact with impact on various First Nations
 500 full-time employees with 100 from Attawapiskat First Nation",Inactive,2008–2019,
ON-MINCAN-576563a5,Woodstock,,Ontario,43.0987,-80.903,Limestone,,Inactive,1956–2008,
MB-MINCAN-d120fe77,Birchtree,,Manitoba,55.701479,-97.927009,"Nickel, Copper, Cobalt, Platinum",,Inactive,1965–1978; 1989–2017,
ON-MINCAN-5ea38d2b,Lockerby,,Ontario,46.433,-81.3238,"Nickel, Copper, Cobalt, Platinum, Gold, Silver, Selenium, Tellurium",,Active,1971–2008; 2011–open,
AB-MINCAN-dc69d788,Cardinal River (Cheviot),,Alberta,53.0667,-117.4,Coal,,Inactive,2005–2020,
BC-MINCAN-b2fb2f65,Trend,,British Columbia,54.898333,-120.961706,Coal,,Inactive,2005–2014,
ON-MINCAN-49811fe2,Island Gold,,Ontario,48.297,-84.4429,Gold,,Active,2007–open,ON-MAIN-687b8c8d
ON-MINCAN-8cc0bb47,Redstone,,Ontario,48.3169444444,-81.1647222222,Nickel,with puntual suspension of activities,Active,2007–open,
QC-MINCAN-7f3c4044,Fabie Bay,,Quebec,48.4407,-79.3526,"Copper, Zinc, Gold, Silver",,Inactive,2007–2009,
NL-MINCAN-0d8566cf,Duck Pond,,Newfoundland-and-Labrador,48.630978,-56.50069,"Copper, Zinc",,Inactive,2007–2015,
BC-MINCAN-1ba2a96d,MAX,,British Columbia,50.6457,-117.586,Molybdenum,,Active,2007–2010; 2011–open,
MB-MINCAN-1e5db9af,San Gold No. 1,,Manitoba,51.0258,-95.6216,Gold,,Inactive,2007–2008,
YT-MINCAN-ea3ac9fd,Minto,,Yukon,62.6167,-137.249,"Copper, Gold",,Inactive,2007–2018,YT-MAIN-752fbcae
NT-MINCAN-5bc1a041,Snap Lake,,Northwest Territories,63.6027,-110.869,Diamond,,Inactive,2007–2015,
ON-MINCAN-8e967a39,Podolsky,,Ontario,46.7775,-80.8763,"Copper, Nickel, PM",,Inactive,2008–2013,
QC-MINCAN-44904232,Goldex,,Quebec,48.0926,-77.8733,"Gold, Silver",,Active,2008–2011; 2013–open,QC-MAIN-c0660aec
QC-MINCAN-d12139ec,Lac Herbin,,Quebec,48.1361,-77.6539,"Gold, Silver",,Inactive,2008–2015,
NL-MINCAN-dea6d820,Beaver Brook,,Newfoundland-and-Labrador,48.4253,-55.1126,Antimony,,Active,2008–2013; 2021–open,
QC-MINCAN-5bfa990a,Barry,,Quebec,48.9903,-75.766,"Gold, Silver",,Active,2008–open,
BC-MINCAN-a5692378,Lexington-Grenoble,,British Columbia,49.0088,-118.614,"Copper, Gold",,Inactive,2008–2008,
QC-MINCAN-8199a781,Perseverance,,Quebec,49.716,-77.7189,"Zinc, Copper, Gold, Silver",,Inactive,2008–2013,
NL-MINCAN-64d7ea1b,Pine Cove,,Newfoundland-and-Labrador,49.9597,-56.1295,Gold,,Active,2008–open,
ON-MINCAN-f10eba9d,Victor,,Ontario,52.8206,-83.8817,Diamond,,Inactive,2008–2019,
QC-MINCAN-6bc0e9f8,Lapa,,Quebec,48.22957,-78.288149,Gold,,Inactive,2009–2018,
ON-MINCAN-e6b5bc73,McWatters,,Ontario,48.311227,-81.03661,Nickel,operation suspended in 2011 ,Inactive,2009–2012,
ON-MINCAN-019a0826,Black Fox,,Ontario,48.534362,-80.340814,Gold,,Active,2009–open,
MB-MINCAN-364a9b59,Hinge,,Manitoba,51.0258,-95.6216,Gold,,Inactive,2009–2015,
QC-MINCAN-17238fd3,Bloom Lake,,Quebec,52.84,-67.28,Iron,,Inactive,2009–2010; 2015–2018,QC-MAIN-089f3c60
MB-MINCAN-da9969c0,Bucko,,Manitoba,54.878,-98.6576,"Nickel, Copper, Cobalt, Platinum",,Inactive,2009–2012,
ON-MINCAN-1fe3b507,Shakespeare,,Ontario,46.33417,-81.85944,"Nickel, Copper, Platinum, Gold, Cobalt",,Inactive,2010–2012,ON-MAIN-54b7e152
ON-MINCAN-b4c53aa7,Hislop,,Ontario,48.34389,-80.30611,Gold,,Inactive,2010–2014,
NU-MINCAN-1d9e43a7,Meadowbank,,Nunavut,65.025,-96.04889,Gold,,Active,2010–open,NU-MAIN-730aefe3
QC-MINCAN-920ca787,Canadian Malartic,,Quebec,48.129852,-78.100285,"Gold, Silver",,Active,2011–open,
ON-MINCAN-643672f4,Timmins,,Ontario,48.383275,-81.549826,Gold,,Active,2011–open,ON-MAIN-f3e6ff08
ON-MINCAN-72455d0c,Holloway-Holt,,Ontario,48.513,-79.74,Gold,This might be the merger of two mines,Inactive,2011–2020,
BC-MINCAN-3fa0299a,Bralorne-Pioneer,,British Columbia,50.777947,-122.821412,Gold,,Inactive,2011–2015,
NL-MINCAN-6068964d,James,,Newfoundland-and-Labrador,54.781569,-66.865862,Iron,,Inactive,2011–2013,
SK-MINCAN-5ac4b2dd,Santoy 8,,Saskatchewan,55.66778,-103.414571,Gold,,Active,2011–open,SK-MAIN-22ce14be
SK-MINCAN-4be6ab2e,Roy Lloyd/Bingo,,Saskatchewan,55.70167,-104.73361,Gold,,Inactive,2011–2014,
YT-MINCAN-75146390,Wolverine,,Yukon,61.41667,-130.1,"Zinc, Silver, Copper, Lead, Gold",,Inactive,2011–2015,
YT-MINCAN-dee2286d,Bellekeno,,Yukon,63.905576,-135.258268,"Gold, Silver, Lead, Zinc",,Inactive,2011–2013,
QC-MINCAN-fb453944,Rocmec 1,,Quebec,48.245,-79.503,Gold,,Active,2012–open,
BC-MINCAN-72fabc94,New Afton,,British Columbia,50.661,-120.514,"Gold, Silver, Copper",,Active,2012–open,BC-MAIN-aa76f6f2
ON-MINCAN-4e67cbbc,St. Lawrence,,Ontario,44.460417,-76.250411,Wollastonite,,Active,2013–open,
QC-MINCAN-aee06f17,Monique,,Quebec,48.188,-77.445,Gold,,Inactive,2013–2015,
QC-MINCAN-658e2488,Bachelor Lake,,Quebec,49.4958,-76.143,"Gold, Silver",,Inactive,2013–2018,
QC-MINCAN-498ff152,Bracemac-McLeod,,Quebec,49.679,-77.666,"Zinc, Copper, Gold, Silver",,Active,2013–open,
ON-MINCAN-6316d452,Detour Lake,,Ontario,50.014,-79.71,Gold,,Active,2013–open,ON-MAIN-aeafbb59
MB-MINCAN-15965632,Lalor Lake,,Manitoba,54.862,-100.155,"Copper, Zinc, Gold, Silver",,Active,2013–open,MB-MAIN-be5b3dc8
ON-MINCAN-07ece30d,Totten,,Ontario,46.381174,-81.454839,"Nickel, Copper, Cobalt, Platinum, Gold",,Active,2014–open,ON-MAIN-28f3f0fc
ON-MINCAN-b9448fc0,Broken Hammer,,Ontario,46.764596,-81.034405,"Copper, Nickel, Platinum",,Active,2014–open,
QC-MINCAN-efafa693,Westwood,,Quebec,48.256,-78.502,"Gold, Copper, Silver, Zinc",,Active,2014–open,
MB-MINCAN-09a8559a,Reed,,Manitoba,54.569,-100.669,"Copper, Zinc, Gold, Silver",,Inactive,2014–2018,
BC-MINCAN-4eaf1f96,Mt Milligan,,British Columbia,55.118,-124.031,"Copper, Gold",,Active,2014–open,BC-MAIN-ed23117f
NU-MINCAN-d93a2c54,Mary River,,Nunavut,71.340446,-71.340446,Iron,,Active,2014–open,
ON-MINCAN-243ee459,Taylor,,Ontario,48.56667,-80.61333,Gold,,Inactive,2015–2020,
QC-MINCAN-1c16c912,Éléonore,,Quebec,52.69889,-76.08667,Gold,,Active,2015–open,QC-MAIN-6dc537e6
BC-MINCAN-c6f7b41b,Yellow Giant,,British Columbia,53.36257,-130.12352,Gold,,Inactive,2015–2015,
BC-MINCAN-12c1ca6d,Willow Creek,Tumbler Ridge,British Columbia,55.619443,-122.22194,Coal,,Inactive,2015–2010; 2014–2018; open–,BC-MAIN-fb4d0c45
BC-MINCAN-496a2682,Red Chris,,British Columbia,57.7,-129.78333,"Gold, Silver, Copper",,Active,2015–open,BC-MAIN-8eb8be0d
SK-MINCAN-7501c939,Cigar Lake,,Saskatchewan,58.06819,-104.54123,Uranium,,Active,2015–open,SK-MAIN-91cf5448
QC-MINCAN-72adc1b6,Renard,,Quebec,52.813913,-72.190579,Diamond,,Active,2016–open,QC-MAIN-3032c251
BC-MINCAN-c26265bf,Silvertip,,British Columbia,59.92,-130.34,"Silver, Zinc, Lead, Gold",,Inactive,2016–2020,
NS-MINCAN-59931ace,Dufferin,,Nova Scotia,44.9719,-62.3929,Gold,,Inactive,2017–2019,
NS-MINCAN-21b5fbce,Moose River Consolidated,,Nova Scotia,44.98243,-62.94292,Gold,,Active,2017–open,NS-MAIN-c9c77a59
NS-MINCAN-3a1569cf,Donkin,,Nova Scotia,46.178108,-59.825861,Coal,,Inactive,2017–2020,NS-MAIN-baf0bfbd
ON-MINCAN-ddd10f1c,Rainy River,,Ontario,48.833,-94.012,"Gold, Silver, Nickel, Copper, Cobalt",,Active,2017–open,ON-MAIN-0aadf28f
SK-MINCAN-de82f057,Bethune,,Saskatchewan,50.62917,-105.26167,Potash,,Active,2017–open,
BC-MINCAN-492cfeba,Brucejack,,British Columbia,56.47554,-130.21783,"Gold, Silver",,Active,2017–open,BC-MAIN-857b7b89
NT-MINCAN-ecb9b239,Gahcho Kué,,Northwest Territories,63.44528,-109.21194,Diamond,,Active,2017–open,NT-MAIN-94e652a5
NU-MINCAN-c890ff47,Hope Bay,,Nunavut,68.137186,-106.612652,Gold,,Active,2017–open,
NL-MINCAN-f672e15e,St. Lawrence,,Newfoundland-and-Labrador,46.9038,-55.4003,Fluorspar,,Active,2018–open,
QC-MINCAN-775312a1,LaRonde - Zone 5,,Quebec,48.2516,-78.451722,Gold,,Active,2018–open,QC-MAIN-e51eda66
QC-MINCAN-1ff82b36,North American Lithium,,Quebec,48.41154,-77.80934,Lithium,,Inactive,2018–2019,QC-MAIN-dc1a16f9
ON-MINCAN-079b81a1,Sugar Zone,,Ontario,48.80496,-85.00401,Gold,,Active,2018–open,ON-MAIN-f4fc3276
BC-MINCAN-5f70024e,"
Silvertip",,British Columbia,59.92,-130.34,"Silver, Zinc, Lead, Gold",,Active,2018–open,
ON-MINCAN-b94b1f25,Borden,,Ontario,47.871883,-83.260981,Gold,,Active,2019–open,ON-MAIN-1c674cd0
ON-MINCAN-b089dc5f,Cochenour,,Ontario,51.076504,-93.808445,Gold,,Active,2019–open,
QC-MINCAN-a6cbac08,DSO (Goodwood),,Quebec,55.09939,-67.34778,Iron,,Active,2019–open,QC-MAIN-b8c826a2
NU-MINCAN-6ca88e12,Meliadine,,Nunavut,63.031529,-92.220206,Gold,,Active,2019–open,NU-MAIN-8b0264c9
YT-MINCAN-8fada64a,Eagle (Dublin Gulch),,Yukon,64.0322,-135.8456,Gold,,Active,2019–open,YT-MAIN-e05ed9fe
NU-MINCAN-4efe1cae,Amaruq,,Nunavut,65.415,-96.697,Gold,,Active,2019–open,NU-MAIN-4ea8ac9d
NB-MINCAN-56d13b79,Upham East,,New Brunswick,45.48334,-65.63127,Gypsum,,Active,2020–open,
NB-MINCAN-ec0f4f8c,Springhill,,New Brunswick,46.0021,-65.3719,"Limestone, lime",,Active,2021–open,
ON-MINCAN-66fd9252,PureGold,,Ontario,50.96932,-93.93847,Gold,,Active,2021–open,
ON-MINCAN-a1e5eaa5,Henderson ,Madoc (Havelock),Ontario,44.50205,-77.45374,Talc,,Inactive,1896–2010,
BC-MINCAN-6b9c35f6,Bralorne Division,Bralorne ,British Columbia,50.777777,-122.82222,"Gold, Silver, Lead, Zinc, Copper, Tungsten",,Inactive,1900–2014,
NS-MINCAN-1a236f18,Old Sydney Collieries Division,,Nova Scotia,46.2891908688,-60.2703601398,Coal,"Establishment of Dominion Iron and Steel, Sydney, Nova Scotia.  1901",Inactive,1901–1975,
ZZ-MINCAN-7ff0442a,Collier Point,Trinity Bay,Newfoundland-and-Labrador,47.591257938665,-53.6901133129545,Barite,18 workers,Inactive,1902–1980; 1998–1998,
ON-MINCAN-aa187be6,,,Ontario,48.60196,-90.58427,Iron ore,,Inactive,1902–1967,
BC-MINCAN-363dab48,,,British Columbia,49.784999,-117.39611,"Silver, Lead, Zinc, Gold, Copper",,Inactive,1903–1952,
ON-MINCAN-bcf440be,,,Ontario,47.58135,-79.58006,Silver,,Inactive,1908–1960,
BC-MINCAN-fe77153d,Pioneer Division,,British Columbia,50.761111,-122.78055,"Gold, Silver, Lead, Zinc, Copper, Antimony, Tungsten",,Inactive,1908–1983,
NS-MINCAN-78389e42,Gypsum Division,Windsor ,Nova Scotia,45.781316,-64.2413709216459,Gypsum,,Inactive,1909–1962,
ON-MINCAN-d4fad89a,,Cobalt ,Ontario,47.36615,-79.63109,Silver,,Inactive,1910–1967,
ON-MINCAN-b7949b70,,,Ontario,48.023,-82.22912,Gold,,Inactive,1910–1968,
AB-MINCAN-e85596cc,,,Alberta,52.4575781635,-116.0846652,Coal,,Inactive,1910–1955,
ON-MINCAN-6a4014e2,Pamour,Timmins,Ontario,48.52273,-81.11502,Gold,,Inactive,1911–2009,
BC-MINCAN-43127ec6,H.B.,Salmo,British Columbia,49.152222,-117.19972,"Lead, Zinc, Silver, Cadmium, Copper, Gold, Talc",,Inactive,1912–1978,
ON-MINCAN-811a3235,Teck-Hughes,,Ontario,48.14722,-80.05266,Gold,,Inactive,1913–1968,
ON-MINCAN-11ba38ba,,,Ontario,48.15254,-80.03634,Gold,,Inactive,1913–1962,
ON-MINCAN-14975e40,George W. MacLeod,Wawa ,Ontario,48.0256,-84.73799,Iron,,Inactive,1914–1998,
AB-MINCAN-0f5767bc,Montgomery,Hanna,Alberta,51.476895456,-111.707653582999,Coal,,Inactive,1914–1999,
BC-MINCAN-ee8be8d0,,Atlin,British Columbia,59.735833,-133.52166,"Silver, Lead, Zinc, Gold, Copper, Cadmium, Molybdenum, Tin",,Inactive,1916–1988,
ON-MINCAN-415de4a6,Lake Shore Tailings,Kickland Lake,Ontario,48.11871,-80.0099,Gold,"The closure of the mine once known as the 'Jewel box of North America' in 1965 was the result of a number of factors including a declining ore reserve picture, unfruitful exploration, increased water inflow into the workings from other closed mines exceeding pump capacity and unstable workings at depth,",Inactive,1918–1964,
SK-MINCAN-0d96824a,,Bishopric ,Saskatchewan,50.009697,-105.779458837696,Sodium Sulphate,,Inactive,1921–1984,
ON-MINCAN-dc624580,McBean,Dobie ,Ontario,48.12537,-79.81791,Gold,,Inactive,1927–1988,
ON-MINCAN-20903670,,Uchi Lake ,Ontario,51.11175,-92.67899,Zinc,,Inactive,1927–1979,
ON-MINCAN-597fb44c,,Dobie ,Ontario,48.14179,-79.8233,Gold,,Inactive,1928–1971,
SK-MINCAN-0b9eff5f,Horseshoe Lake or Osmiston,Ormiston ,Saskatchewan,49.719457,-105.355145320785,Sodium Sulphate,,Inactive,1930–1999,
SK-MINCAN-a056ea87,Whiteshore Lake,Palo ,Saskatchewan,52.121963,-108.286850063219,Sodium Sulphate,,Inactive,1934–2008,
NT-MINCAN-5facb408,Con and Rycons,Yellowknife ,Northwest Territories,62.43333333333333,-114.36666666666666,Gold,"(source1 (Silke),p.112): 
The Con Mine first achieved gold production in 1938 and was the founding industry of Yellowknife, NWT, the city that grew up nearby. Con closed in 2003 and the mine is now under remediation. 
By the fall of 1943, when the mine shutdown for the duration of World War II, the mine employed 170 people, 80 of which were married, 15 women, and 15 natives. There were also 40 children residing in the camp. 
Con Mine became unionized in 1947 when the Local 802 of the International Union of Mine, Mill and Smelter
Workers became organized. Con management disputed the organization, citing unreasonable wage demands during a difficult period for the mine 
Total employment at Con Mine during the late 1950s was approximately 190 (mine records).
In August 2003 it was announced that mining operations were phasing down to a November closure. On October 24th 2003, a first batch of layoffs resulted in a 67 man reduction in the workforce. Ninety-four men were laid off on November 28th closure, leaving about 40 to 50 men to stay and continue with surface and milling operations. (Miramar Mining Corp. Ltd. Annual Report, 2003)",Inactive,1938–2003,
BC-MINCAN-b7530dbc,,Parson/Invermere,British Columbia,51.025277,-116.65083,Barite,,Inactive,1944–1992,
ON-MINCAN-3c0bc175,,,Ontario,47.97179,-80.69617,Copper,,Inactive,1948–1964,
SK-MINCAN-ed17fb21,,Fox Valley,Saskatchewan,50.460916,-106.662494110019,Sodium Sulphate,,Active,1948–open,
MB-MINCAN-0beaa474,,,Manitoba,54.72055555555556,-101.71083333333334,"Copper, Zinc, Gold, Silver",,Inactive,1948–1954,
BC-MINCAN-3d344cc8,Argonault Division,,British Columbia,49.862222,-125.54583,"Iron, Limestone, Garnet, Magnetite",,Inactive,1951–1956,
NL-MINCAN-6e231a28,Flat Bay,St. Georges,Newfoundland-and-Labrador,48.3831965835795,-58.5605861732249,Gypsum,"60 workers (1988-1994)- Domtar Inc. operated from 1988 through to 1994 and under its subsidiary, St. George's Gypsum Mines Inc. form 1988-1990. Estimated annual employment was 60 people. The mine, which was located in Flat Bay, produced gypsum.",Inactive,1952–2019,
ON-MINCAN-89ffefd0,Dyno,,Ontario,44.95006,-78.09776,Uranium,,Inactive,1955–1960,
BC-MINCAN-b2386f8b,,Britannia Beach ,British Columbia,49.554722,-123.40083,"Slate, Flagstone, Dimension Stone, Building Stone",,Inactive,1955–1963,
SK-MINCAN-16ae1a37,,,Saskatchewan,59.457769,-108.432228306277,Uranium,,Inactive,1955–1959,
ON-MINCAN-38ad72cf,Geco,Manitouwadge ,Ontario,49.15576,-85.79033,Zinc,,Inactive,1957–1957,
AB-MINCAN-c49749e0,,Coleman,Alberta,49.8076740233999,-114.524810615999,Coal,,Inactive,1957–1981,
MB-MINCAN-32193179,Thompson,Thompson ,Manitoba,55.7186111111111,-97.85388888888887,"Nickel, Copper, Cobalt, Gold, Silver, Platinum",,Inactive,1957–1982,MB-MAIN-e0a6250e
ON-MINCAN-442661ec,Stanleigh,Elliot Lake ,Ontario,46.413519,-82.63735,Uranium,Abandoned : The site has been rehabilitated and is currently undergoing environmental monitoring.,Inactive,1958–1961; 1983–1996,
BC-MINCAN-f52b7867,,McDame Lake,British Columbia,59.274443,-129.68944,"Gold, Silver, Zinc, Copper",,Inactive,1960–1988,
BC-MINCAN-9d2e58f3,,,British Columbia,49.763333,-125.30222,"Copper, Gold, Silver, Arsenic, Molybdenum, Zinc, Lead",,Inactive,1964–1966,
BC-MINCAN-cc630399,,Stewart ,British Columbia,56.211111,-130.34499,"Copper, Silver, Gold, Lead, Zinc, Cobalt",,Inactive,1964–1984,
NT-MINCAN-bdbfb589,,,Northwest Territories,64.0375,-111.17916666666667,Gold,"The site was completely remediation by a government-funded program in the spring and summer of 2007. 
The camp consisted of two large buildings making up the accommodation complex. The 2-story bunkhouse had room for 62 single men, plus a small hospital, laundromat, and four staff residences for married couples. The Personal Services Building contained cookery, commissary, recreation hall, gymnasium, staff quarters, and library. The two camp buildings were connected by a short arctic-corridor, and the rest of the buildings onsite were connected by rope (life-lines) so that men would not get lost in blizzards walking to work. The mine manager had his own residence on site, and in 1964-1965 trailer units were brought in on winter road to provide additional family housing. In 1965, there were eight families residing on site. A crew of about 100 to 120 persons worked on the site. Jack Boulding was mine manager at the start of production, but was forced to retire in May 1965 due to illness. Len Dixon replaced him as manager at Tundra Mine"" (Byrne et al., 1964 cited by source1 (Silke), p.493)
 ""1968 Closure Worsening economic conditions in late 1967 convinced company officials that the Tundra Mine could no longer operate profitably. Increased costs, depressed gold market, and operational handicaps were the primary factors. The mine was closed in January 1968. On January 6th 1968 the last ore was hoisted, and the mill circuit was cleaned out to recover any remaining gold values. Most usable equipment was sent to Discovery Mine over the winter road. About 5,000 tons of broken ore remained underground, considered too low-grade for treatment in 1968. A substantial rise in the price of gold was considered necessary to reactivate the property"" (Tundra Gold Mines Ltd. Annual Report, 1968 cited by source1 (Silke), p.495)",Inactive,1964–1968,
NT-MINCAN-af265c85,,Port Radium ,Northwest Territories,66.09583333333333,-117.99166666666667,"Silver, Copper","The mine was also in operation from 1934 to 1936. 
First underground exploration of the silver deposits occurred in the 1930s, and in 1964 the mine was brought into production. In 1976, the old Eldorado Mine was reopened and mined for its silver content when Echo Bay ores were depleted. Following the closure of the Port Radium operations in 1982, the Eldorado Mine and Echo Bay Mines were cleaned up.
CAUSE: Underground development on two adit levels began in 1933, but work ceased when the price of silver collapsed. The site remained closed until 1964 when Echo Bay Mines Limited reopened the mine workings. Silver and copper was produced from 1964 until 1976 when the orebody was depleted.
SCALE: A total of 103 persons were employed at the mine at that date. The camp consisted of two-story bunkhouses, cookery, and recreation hall, previously occupied by Eldorado Mine at Port Radium (The Western Miner, August 1968)",Inactive,1964–1974,
QC-MINCAN-018de99d,,Grand Remous ,Quebec,46.7846889273453,-75.8721907131585,Silica,,Inactive,1965–1977,
BC-MINCAN-ec499c88,Boss Mountain Division,Hendrix Lake,British Columbia,52.096666,-120.9075,"Molybdenum, Copper, Zinc, Tungsten, Silver, Bismuth, Rhenium",,Inactive,1965–1983,
NB-MINCAN-3eceb06d,,Minto ,New Brunswick,46.0759529153469,-66.0748074998611,Coal,Minor occurrence (limited to no exploration work),Inactive,1966–1969,
ON-MINCAN-95ce55bd,,Manitouwadge ,Ontario,49.16603,-85.84594,Copper,,Inactive,1967–1968,
NL-MINCAN-e253c8b8,Gull Pond ,Gull Pond ,Newfoundland-and-Labrador,49.1984362553306,-56.1550163624812,"Copper, Iron, Zinc, Lead",205 workers,Inactive,1967–1971,
ON-MINCAN-e8b73215,Shermans,Temagami,Ontario,47.06726,-79.84031,Iron,,Inactive,1968–1990,
SK-MINCAN-8907f04e,Lanigan Division,Lanigan ,Saskatchewan,51.849207,-105.196208125667,Potash,,Active,1968–open,
ON-MINCAN-01505dc1,,Timmins ,Ontario,48.57813,-81.58804,Copper,,Inactive,1969–1971,
SK-MINCAN-f137cb3d,Vanscoy ,Vanscoy,Saskatchewan,52.004765,-107.073918307559,Potash,,Active,1969–open,
AB-MINCAN-fe842d8f,,Metiskow ,Alberta,52.4054231206526,-110.633142376522,Sodium Sulphate,,Inactive,1970–1991,
MB-MINCAN-b13cb83b,,Morton Lake-Herb Lake ,Manitoba,54.855,-100.49,"Copper, Zinc",,Inactive,1970–1974,
YT-MINCAN-9cc98380,Venus,Carcross,Yukon,60.025,-134.63472222222222,"Silver, Gold",The mine was also in operation from 1906 to 1911,Inactive,1970–1971; 1980–1982; 1980–1982,
ON-MINCAN-ba83ef77,Ajax or Kanichee,Temagami,Ontario,47.10385,-79.84555,Copper,"The Kanichee Mine zone has been explored and mined discontinuously from as early as 1910. During the 20th century, it operated and closed down at least three times, with the most recent being from 1973 to 1976. To date, the discontinuous operation of Kanichee Mine has produced 4.2 million pounds of metal.",Inactive,1973–1976,
