OPERATIO_E,OPERATIO_F,OWNER_E,OWNER_F,FAC_TYPE_E,FAC_TYPE_F,FAC_DESC_E,FAC_DESC_F,COMMODIT_E,COMMODIT_F,COM_DESC_E,COM_DESC_F,COM_GROU_E,COM_GROU_F,CITY_E,CITY_F,PROVINCE_E,PROVINCE_F,LATITUDE,LONGITUDE,Primary_Commodity,Commodity_Group
Lac Tio,Lac Tio,Rio Tinto Group,Groupe Rio Tinto,(P.),(C.O.),Open-pit,Ciel ouvert,Ilmenite,Ilménite,Ilmenite,Ilménite,Other metals,Autres métaux,Havre-Saint-Pierre,Havre-Saint-Pierre,Quebec,Québec,50.5541,-63.416,Ilmenite,Other metals
North American Lithium,North American Lithium,Sayona Québec Inc.,Sayona Québec Inc.,"(P., U.)","(C.O., Sout.)","Open-pit, underground","Ciel ouvert, souterraine",Li,Li,Lithium,Lithium,Other metals,Autres métaux,La Corne,La Corne,Quebec,Québec,48.4115,-77.80934,Lithium,Other metals
Niobec,Niobec,Magris Performance Materials Inc.,Magris Performance Materials Inc.,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur",Nb,Nb,Niobium,Niobium,Other metals,Autres métaux,Saint-Honoré-de-Chicoutimi,Saint-Honoré-de-Chicoutimi,Quebec,Québec,48.532148,-71.156929,Niobium,Other metals
Thompson (T-1 and T-3),Thompson (T-1 et T-3),Vale Canada Limited,Vale Canada Limitée,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur","Ni, Co, Cu, PGM, Au, Ag","Ni, Co, Cu, MGP, Au, Ag","Nickel, cobalt, copper, platinum group metals, gold, silver","Nickel, cobalt, cuivre, métaux du groupe platine, or, argent",Base metals,Métaux communs,Thompson,Thompson,Manitoba,Manitoba,55.7152,-97.8444,Nickel,Base metals
Voisey’s Bay,Voisey’s Bay,Vale Newfoundland and Labrador Limited,Vale Newfoundland and Labrador Limited,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur","Ni, Cu, Co","Ni, Cu, Co","Nickel, copper, cobalt","Nickel, cuivre, cobalt",Base metals,Métaux communs,Voisey’s Bay,Voisey’s Bay,Newfoundland and Labrador,Terre-Neuve-et-Labrador,56.331659,-62.090855,Nickel,Base metals
Nickel Rim South,Nickel Rim South,Glencore Canada Corporation,Glencore Canada Corporation,(U.),(Sout.),Underground,Souterraine,"Ni, Cu, Co, PGM, Au","Ni, Cu, Co, MGP, Au","Nickel, copper, cobalt, platinum group metals, gold","Nickel, cuivre, cobalt, métaux du groupe platine, or",Base metals,Métaux communs,Sudbury,Sudbury,Ontario,Ontario,46.657982,-80.796793,Nickel,Base metals
Totten,Totten,Vale Canada Limited,Vale Canada Limitée,(U.),(Sout.),Underground,Souterraine,"Ni, Cu, PGM, Au, Ag, Co","Ni, Cu, MGP, Au, Ag, Co","Nickel, copper, platinum group metals, gold, silver, cobalt","Nickel, cuivre, métaux du groupe platine, or, argent, cobalt",Base metals,Métaux communs,Worthington,Worthington,Ontario,Ontario,46.381174,-81.454839,Nickel,Base metals
Strathcona,Strathcona,Glencore Canada Corporation,Glencore Canada Corporation,(C.),(Con.),Concentrator,Concentrateur,"Ni, Cu, PGM, Au, Ag, Co, Se, Te","Ni, Cu, MGP, Au, Ag, Co, Se, Te","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Nickel, cuivre, métaux du groupe platine, or, argent, cobalt, sélénium, tellure",Base metals,Métaux communs,Sudbury,Sudbury,Ontario,Ontario,46.6734,-81.3427,Nickel,Base metals
Clarabelle,Clarabelle,Vale Canada Limited,Vale Canada Limitée,(C.),(Con.),Concentrator,Concentrateur,"Ni, Cu, PGM, Au, Ag, Co, Se, Te","Ni, Cu, MGP, Au, Ag, Co, Se, Te","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Nickel, cuivre, métaux du groupe platine, or, argent, cobalt, sélénium, tellure",Base metals,Métaux communs,Sudbury,Sudbury,Ontario,Ontario,46.495822,-81.056782,Nickel,Base metals
Coleman,Coleman,Vale Canada Limited,Vale Canada Limitée,(U.),(Sout.),Underground,Souterraine,"Ni, Cu, PGM, Au, Ag, Co, Se, Te","Ni, Cu, MGP, Au, Ag, Co, Se, Te","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Nickel, cuivre, métaux du groupe platine, or, argent, cobalt, sélénium, tellure",Base metals,Métaux communs,Sudbury,Sudbury,Ontario,Ontario,46.6771,-81.3397,Nickel,Base metals
Copper Cliff Complex,Complexe Copper Cliff,Vale Canada Limited,Vale Canada Limitée,(U.),(Sout.),Underground,Souterraine,"Ni, Cu, PGM, Au, Ag, Co, Se, Te","Ni, Cu, MGP, Au, Ag, Co, Se, Te","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Nickel, cuivre, métaux du groupe platine, or, argent, cobalt, sélénium, tellure",Base metals,Métaux communs,Sudbury,Sudbury,Ontario,Ontario,46.491445,-81.068205,Nickel,Base metals
Creighton,Creighton,Vale Canada Limited,Vale Canada Limitée,(U.),(Sout.),Underground,Souterraine,"Ni, Cu, PGM, Au, Ag, Co, Se, Te","Ni, Cu, MGP, Au, Ag, Co, Se, Te","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Nickel, cuivre, métaux du groupe platine, or, argent, cobalt, sélénium, tellure",Base metals,Métaux communs,Sudbury,Sudbury,Ontario,Ontario,46.474,-81.1861,Nickel,Base metals
Garson,Garson,Vale Canada Limited,Vale Canada Limitée,(U.),(Sout.),Underground,Souterraine,"Ni, Cu, PGM, Au, Ag, Co, Se, Te","Ni, Cu, MGP, Au, Ag, Co, Se, Te","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Nickel, cuivre, métaux du groupe platine, or, argent, cobalt, sélénium, tellure",Base metals,Métaux communs,Sudbury,Sudbury,Ontario,Ontario,46.568,-80.857,Nickel,Base metals
Fraser,Fraser,Glencore Canada Corporation,Glencore Canada Corporation,(U.),(Sout.),Underground,Souterraine,"Ni, Cu, PGM, Au, Co, Ag","Ni, Cu, MGP, Au, Co, Ag","Nickel, copper, platinum group metals, gold, cobalt, silver","Nickel, cuivre, métaux du groupe platine, or, cobalt, argent",Base metals,Métaux communs,Sudbury,Sudbury,Ontario,Ontario,46.6633,-81.3404,Nickel,Base metals
Nunavik Nickel,Nunavik Nickel,Canadian Royalties Inc.,Canadian Royalties Inc.,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur","Ni, Cu, PGM, Co","Ni, Cu, MGP, Co","Nickel, copper, platinum group metals, cobalt","Nickel, cuivre, métaux du groupe platine, cobalt",Base metals,Métaux communs,Kangiqsujuaq,Kangiqsujuaq,Quebec,Québec,61.420856,-74.1375,Nickel,Base metals
Raglan,Raglan,Glencore Canada Corporation,Glencore Canada Corporation,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Ni, PGM, Cu, Co, Au, Ag","Ni, MGP, Cu, Co, Au, Ag","Nickel, platinum group metals, copper, cobalt, gold, silver","Nickel, métaux du groupe platine, cuivre, cobalt, or, argent",Base metals,Métaux communs,Katinniq,Katinniq,Quebec,Québec,61.687171,-73.674669,Nickel,Base metals
Lac des Iles,Lac des Îles,Impala Canada Ltd.,Impala Canada Ltd.,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur","PGM, Au, Ni, Cu, Co","MGP, Au, Ni, Cu, Co","Platinum group metals, gold, nickel, copper, cobalt","Métaux du groupe platine, or, nickel, cuivre, cobalt",Precious metals,Métaux précieux,Thunder Bay,Thunder Bay,Ontario,Ontario,49.1691,-89.6105,Platinum group metals,Precious metals
Beaver Brook,Beaver Brook,China Minmetals Rare Earth Group Co. Ltd.,China Minmetals Rare Earth Group Co. Ltd.,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur",Sb,Sb,Antimony,Antimoine,Other metals,Autres métaux,Glenwood,Glenwood,Newfoundland and Labrador,Terre-Neuve-et-Labrador,48.715909,-55.196,Antimony,Other metals
Cigar Lake,Cigar Lake,Cameco Corporation,Cameco Corporation,(U.),(Sout.),Underground,Souterraine,U,U,Uranium,Uranium,Uranium,Uranium,Waterbury Lake,Waterbury Lake,Saskatchewan,Saskatchewan,58.06819,-104.54123,Uranium,Uranium
Key Lake,Key Lake,Cameco Corporation,Cameco Corporation,(C.),(Con.),Concentrator,Concentrateur,U,U,Uranium,Uranium,Uranium,Uranium,north of Highrock Lake,au nord de Highrock Lake,Saskatchewan,Saskatchewan,57.207,-105.647,Uranium,Uranium
McArthur River,McArthur River,Cameco Corporation,Cameco Corporation,(U.),(Sout.),Underground,Souterraine,U,U,Uranium,Uranium,Uranium,Uranium,north of Key Lake,au nord de Key Lake,Saskatchewan,Saskatchewan,57.7637,-105.053,Uranium,Uranium
McClean Lake,McClean Lake,Orano Canada Inc.,Orano Canada Inc.,(C.),(Con.),Concentrator,Concentrateur,U,U,Uranium,Uranium,Uranium,Uranium,McClean Lake,McClean Lake,Saskatchewan,Saskatchewan,58.3472,-103.8361,Uranium,Uranium
Horizon,Horizon,Canadian Natural Resources Limited,Canadian Natural Resources Limited,(P.),(C.O.),Open-pit,Ciel ouvert,Upgraded crude oil,Pétrole brut enrichi,Upgraded crude oil,Pétrole brut enrichi,Oil,Pétrole,Fort MacKay,Fort MacKay,Alberta,Alberta,57.3382333333333,-111.774947222222,Upgraded crude oil,Oil
Jackpine,Jackpine,Canadian Natural Resources Limited,Canadian Natural Resources Limited,(P.),(C.O.),Open-pit,Ciel ouvert,Upgraded crude oil,Pétrole brut enrichi,Upgraded crude oil,Pétrole brut enrichi,Oil,Pétrole,Fort MacKay,Fort MacKay,Alberta,Alberta,57.2490361111111,-111.379855555556,Upgraded crude oil,Oil
Muskeg River,Rivière Muskeg,Canadian Natural Resources Limited,Canadian Natural Resources Limited,(P.),(C.O.),Open-pit,Ciel ouvert,Upgraded crude oil,Pétrole brut enrichi,Upgraded crude oil,Pétrole brut enrichi,Oil,Pétrole,Fort MacKay,Fort MacKay,Alberta,Alberta,57.2465,-111.512,Upgraded crude oil,Oil
Kearl,Kearl,Imperial Oil Ltd.,Compagnie Pétrolière Impériale Ltée,(P.),(C.O.),Open-pit,Ciel ouvert,Upgraded crude oil,Pétrole brut enrichi,Upgraded crude oil,Pétrole brut enrichi,Oil,Pétrole,Fort McMurray,Fort McMurray,Alberta,Alberta,57.396911,-111.066731,Upgraded crude oil,Oil
Fort Hills,Fort Hills,Suncor Energy Inc.,Suncor Énergie Inc.,(P.),(C.O.),Open-pit,Ciel ouvert,Upgraded crude oil,Pétrole brut enrichi,Upgraded crude oil,Pétrole brut enrichi,Oil,Pétrole,Fort MacKay,Fort MacKay,Alberta,Alberta,57.3952,-111.572,Upgraded crude oil,Oil
Millennium and Steepbank,Millennium et Steepbank,Suncor Energy Inc.,Suncor Énergie Inc.,(P.),(C.O.),Open-pit,Ciel ouvert,Upgraded crude oil,Pétrole brut enrichi,Upgraded crude oil,Pétrole brut enrichi,Oil,Pétrole,Fort McMurray,Fort McMurray,Alberta,Alberta,56.8719,-111.34,Upgraded crude oil,Oil
Aurora North and South,Aurora Nord et Sud,Syncrude Canada Ltd.,Syncrude Canada Ltée,(P.),(C.O.),Open-pit,Ciel ouvert,Upgraded crude oil,Pétrole brut enrichi,Upgraded crude oil,Pétrole brut enrichi,Oil,Pétrole,Fort MacKay,Fort MacKay,Alberta,Alberta,57.3134,-111.458,Upgraded crude oil,Oil
Mildred Lake,Lac Mildred,Syncrude Canada Ltd.,Syncrude Canada Ltée,(P.),(C.O.),Open-pit,Ciel ouvert,Upgraded crude oil,Pétrole brut enrichi,Upgraded crude oil,Pétrole brut enrichi,Oil,Pétrole,Fort MacKay,Fort MacKay,Alberta,Alberta,57.0,-111.4667,Upgraded crude oil,Oil
Myra Falls,Myra Falls,Trafigura Mining Group,Groupe minier Trafigura,(U.),(Sout.),Underground,Souterraine,"Zn, Cu, Ag, Au, Pb","Zn, Cu, Ag, Au, Pb","Zinc, copper, silver, gold, lead","Zinc, cuivre, argent, or, plomb",Base metals and precious metals,Métaux communs et métaux précieux,Strathcona,Strathcona,British Columbia,Colombie-Britannique,49.57,-125.59,Zinc,Base metals and precious metals
