substance_id,substance_type,substance_subtype,substance_name,ecoinvent_alias
SUB838598a6ae,Total releases,Total Releases (Excluding Road Dust),Carbon monoxide,"Carbon monoxide, fossil"
SUB7509530079,Total releases,Total Releases (Excluding Road Dust),Nitrogen oxides (expressed as nitrogen dioxide),Nitrogen oxides
SUBd4aab92761,Total releases,Total Releases (Excluding Road Dust),PM10 - Particulate Matter <= 10 Micrometers,-
SUB6513ee5024,Total releases,Total Releases (Excluding Road Dust),PM2.5 - Particulate Matter <= 2.5 Micrometers,"Particulates, < 2.5 um"
SUB8b610d115d,Total releases,Total Releases (Excluding Road Dust),Total particulate matter,-
SUBbdec1de535,Total releases,Total Releases (Excluding Road Dust),Ammonia (total),Ammonia
SUB5c6313c266,Total releases,Total Releases (Excluding Road Dust),Arsenic (and its compounds),Arsenic
SUB539805e553,Total releases,Total Releases (Excluding Road Dust),Cadmium (and its compounds),Cadmium
SUB9e8c89d4bd,Total releases,Total Releases (Excluding Road Dust),Chromium (and its compounds),Chromium
SUB4c7ac40261,Total releases,Total Releases (Excluding Road Dust),Cobalt (and its compounds),Cobalt
SUBc8e41ac33d,Total releases,Total Releases (Excluding Road Dust),Copper (and its compounds),Copper
SUB9249cafbb9,Total releases,Total Releases (Excluding Road Dust),Cyanides (ionic),-
SUB3f6e7d4b69,Total releases,Total Releases (Excluding Road Dust),Lead (and its compounds),Lead
SUB72dbbac4b0,Total releases,Total Releases (Excluding Road Dust),Manganese (and its compounds),Manganese
SUB99273e471a,Total releases,Total Releases (Excluding Road Dust),Mercury (and its compounds),Mercury
SUB4ad8084dc0,Total releases,Total Releases (Excluding Road Dust),Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUB27d1f3590a,Total releases,Total Releases (Excluding Road Dust),Nitrate ion in solution at pH >= 6.0,Nitrate
SUBe2a287d975,Total releases,Total Releases (Excluding Road Dust),Nitric acid,Nitric acid
SUB5adc8d5bfd,Total releases,Total Releases (Excluding Road Dust),Phosphorus (total),Phosphorus
SUB34f9a295e3,Total releases,Total Releases (Excluding Road Dust),Selenium (and its compounds),Selenium
SUB55c6f562d6,Total releases,Total Releases (Excluding Road Dust),Thallium (and its compounds),Thallium
SUB9e2a833aa5,Total releases,Total Releases (Excluding Road Dust),Vanadium (and its compounds),Vanadium
SUB744648a673,Total releases,Total Releases (Excluding Road Dust),Zinc (and its compounds),Zinc
SUBd1bc1f5cf7,Total releases,Total Releases (Excluding Road Dust),Dioxins and furans - total,-
SUBd245e52d1c,Total releases,Total Releases (Excluding Road Dust),Hexachlorobenzene,"Benzene, hexachloro-"
SUB708d15d37e,Total releases,Total Releases (Excluding Road Dust),Ethylene glycol,-
SUB4946035f54,Total releases,Total Releases (Excluding Road Dust),Volatile Organic Compounds (Total),
SUBdc2c1bb65d,Total releases,Total Releases (Excluding Road Dust),Antimony (and its compounds),Antimony
SUB61dc42cee6,Total releases,Total Releases (Excluding Road Dust),Hydrochloric acid,-
SUB7a843f2ab3,Total releases,Total Releases (Excluding Road Dust),Hydrogen sulphide,-
SUBcee11acd76,Total releases,Total Releases (Excluding Road Dust),Total reduced sulphur (expressed as hydrogen sulphide),-
SUBbbf62e4308,Total releases,Total Releases (Excluding Road Dust),Carbon disulphide,Carbon disulfide
SUBee2f5e7a89,Total releases,Total Releases (Excluding Road Dust),Silver (and its compounds),Silver
SUBbccd346dc0,Total releases,Total Releases (Excluding Road Dust),Acetaldehyde,Acetaldehyde
SUB145c2c934a,Total releases,Total Releases (Excluding Road Dust),Fluoranthene,Fluoranthene
SUB1a0da5148c,Total releases,Total Releases (Excluding Road Dust),Hydrogen fluoride,-
SUB2379d84464,Total releases,Total Releases (Excluding Road Dust),"PAHs, total unspeciated","Hydrocarbons, aromatic"
SUB7c6f600654,Total releases,Total Releases (Excluding Road Dust),Phenanthrene,Phenanthrene
SUB55ae3718e8,Total releases,Total Releases (Excluding Road Dust),Pyrene,Pyrene
SUB3c1cb0e6e4,Total releases,Total Releases (Excluding Road Dust),Sulphur dioxide,Sulfur dioxide
SUB58c27162dd,Total releases,Total Releases (Excluding Road Dust),Sulphuric acid,Sulfuric acid
SUBcad2bf4ca5,Total releases,Total Releases (Excluding Road Dust),Aluminum (fume or dust only),Aluminium
SUBdbe5b1a6fe,Total releases,Total Releases (Excluding Road Dust),Acenaphthylene,Acenaphthylene
SUBa47de3e831,Total releases,Total Releases (Excluding Road Dust),Fluorene,Fluorene
SUBbb8af6a3e6,Total releases,Total Releases (Excluding Road Dust),i-Butyl alcohol,2-Methyl-1-propanol
SUB6b5ecc3ea0,Total releases,Total Releases (Excluding Road Dust),1-Nitropyrene,-
SUBc56a68bd60,Total releases,Total Releases (Excluding Road Dust),Methanol,Methanol
SUBcefe9c7309,Total releases,Total Releases (Excluding Road Dust),Quinoline,-
SUBa91ef025e0,Total releases,Total Releases (Excluding Road Dust),Hydrogen cyanide,-
SUB0c0abea5d9,Total releases,Total Releases (Excluding Road Dust),Fluorine,Fluorine
SUB521e2a4117,Total releases,Total Releases (Excluding Road Dust),Acenaphthene,Acenaphthene
SUB7bf94445b8,Total releases,Total Releases (Excluding Road Dust),Acrolein,Acrolein
SUB9aeb931182,Total releases,Total Releases (Excluding Road Dust),Anthracene,Anthracene
SUBb57f245f21,Total releases,Total Releases (Excluding Road Dust),Benz[a]anthracene,Benz(a)anthracene
SUB002e58ae84,Total releases,Total Releases (Excluding Road Dust),Benzene,Benzene
SUBa5bcca9d86,Total releases,Total Releases (Excluding Road Dust),Benzo[a]pyrene,Benzo(a)pyrene
SUB87b268d1fc,Total releases,Total Releases (Excluding Road Dust),Benzo[b]fluoranthene,Benzo(b)fluoranthene
SUB8c18efe36c,Total releases,Total Releases (Excluding Road Dust),Benzo[ghi]perylene,Benzo(ghi)perylene
SUB2be5ca3daa,Total releases,Total Releases (Excluding Road Dust),Benzo[k]fluoranthene,Benzo(k)fluoranthene
SUB087dc645f3,Total releases,Total Releases (Excluding Road Dust),"Dibenz[a,h]anthracene","Dibenz(a,h)anthracene"
SUBde09a5c571,Total releases,Total Releases (Excluding Road Dust),Formaldehyde,Formaldehyde
SUBb88dd53ccb,Total releases,Total Releases (Excluding Road Dust),"Indeno[1,2,3-cd]pyrene","Indeno(1,2,3-cd)pyrene"
SUB92ee1142e8,Total releases,Total Releases (Excluding Road Dust),Naphthalene,Naphtalene
SUB8c688a6dd2,Total releases,Total Releases (Excluding Road Dust),Propylene,Propene
SUB50ff0e46ef,Total releases,Total Releases (Excluding Road Dust),Toluene,Toluene
SUB8aa84dcbe1,Total releases,Total Releases (Excluding Road Dust),Xylene (all isomers),Xylene
SUB0f574cd298,Total releases,Total Releases (Excluding Road Dust),Formic acid,Formic acid
SUBe0508dd973,Total releases,Total Releases (Excluding Road Dust),Chlorine,-
SUB47174f9a3d,Total releases,Road Dust Emissions,PM10 - Particulate Matter <= 10 Micrometers,-
SUB786d1c7141,Total releases,Road Dust Emissions,PM2.5 - Particulate Matter <= 2.5 Micrometers,"Particulates, < 2.5 um"
SUBdf2a4e1006,Total releases,Road Dust Emissions,Total particulate matter,-
SUB30d8e13088,Total releases,Total Releases Including Road Dust,Carbon monoxide,"Carbon monoxide, fossil"
SUB4553f16194,Total releases,Total Releases Including Road Dust,Nitrogen oxides (expressed as nitrogen dioxide),Nitrogen oxides
SUB0cd1200653,Total releases,Total Releases Including Road Dust,PM10 - Particulate Matter <= 10 Micrometers,-
SUBe86f13c482,Total releases,Total Releases Including Road Dust,PM2.5 - Particulate Matter <= 2.5 Micrometers,"Particulates, < 2.5 um"
SUBa275994349,Total releases,Total Releases Including Road Dust,Total particulate matter,-
SUBd592f0bf5a,Total releases,Total Releases Including Road Dust,Ammonia (total),Ammonia
SUBc80f5e52ab,Total releases,Total Releases Including Road Dust,Arsenic (and its compounds),Arsenic
SUB8eab02b794,Total releases,Total Releases Including Road Dust,Cadmium (and its compounds),Cadmium
SUBdd873d3650,Total releases,Total Releases Including Road Dust,Chromium (and its compounds),Chromium
SUB7321671257,Total releases,Total Releases Including Road Dust,Cobalt (and its compounds),Cobalt
SUBbc09563ad8,Total releases,Total Releases Including Road Dust,Copper (and its compounds),Copper
SUB4d4337c541,Total releases,Total Releases Including Road Dust,Cyanides (ionic),-
SUB8acc3ef419,Total releases,Total Releases Including Road Dust,Lead (and its compounds),Lead
SUB015d4531f4,Total releases,Total Releases Including Road Dust,Manganese (and its compounds),Manganese
SUB0081bbfd5e,Total releases,Total Releases Including Road Dust,Mercury (and its compounds),Mercury
SUB62775672d7,Total releases,Total Releases Including Road Dust,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUB0863ea84f5,Total releases,Total Releases Including Road Dust,Nitrate ion in solution at pH >= 6.0,Nitrate
SUBe5fd03cab2,Total releases,Total Releases Including Road Dust,Nitric acid,Nitric acid
SUB2a25ee650e,Total releases,Total Releases Including Road Dust,Phosphorus (total),Phosphorus
SUB07fae94e7d,Total releases,Total Releases Including Road Dust,Selenium (and its compounds),Selenium
SUB033c04d866,Total releases,Total Releases Including Road Dust,Thallium (and its compounds),Thallium
SUBa969831508,Total releases,Total Releases Including Road Dust,Vanadium (and its compounds),Vanadium
SUB65863d4740,Total releases,Total Releases Including Road Dust,Zinc (and its compounds),Zinc
SUB6e2057fb8a,Total releases,Total Releases Including Road Dust,Dioxins and furans - total,-
SUB9c48804baa,Total releases,Total Releases Including Road Dust,Hexachlorobenzene,"Benzene, hexachloro-"
SUB220b0ae807,Total releases,Total Releases Including Road Dust,Ethylene glycol,-
SUB90932bdfd7,Total releases,Total Releases Including Road Dust,Volatile Organic Compounds (Total),
SUB519f986c08,Total releases,Total Releases Including Road Dust,Antimony (and its compounds),Antimony
SUB24d727c02d,Total releases,Total Releases Including Road Dust,Hydrochloric acid,-
SUBbac9cc6e8d,Total releases,Total Releases Including Road Dust,Hydrogen sulphide,-
SUB576c1843ce,Total releases,Total Releases Including Road Dust,Total reduced sulphur (expressed as hydrogen sulphide),-
SUB3001e18bc6,Total releases,Total Releases Including Road Dust,Carbon disulphide,Carbon disulfide
SUB003fb38bed,Total releases,Total Releases Including Road Dust,Silver (and its compounds),Silver
SUB167b696d15,Total releases,Total Releases Including Road Dust,Acetaldehyde,Acetaldehyde
SUB8456c8bca2,Total releases,Total Releases Including Road Dust,Fluoranthene,Fluoranthene
SUB4273f25cd9,Total releases,Total Releases Including Road Dust,Hydrogen fluoride,-
SUB5462a7207b,Total releases,Total Releases Including Road Dust,"PAHs, total unspeciated","Hydrocarbons, aromatic"
SUBdd0a0f419f,Total releases,Total Releases Including Road Dust,Phenanthrene,Phenanthrene
SUBbee8912ee8,Total releases,Total Releases Including Road Dust,Pyrene,Pyrene
SUBfd15b3dca4,Total releases,Total Releases Including Road Dust,Sulphur dioxide,Sulfur dioxide
SUB059a614bf5,Total releases,Total Releases Including Road Dust,Sulphuric acid,Sulfuric acid
SUB7a681d85d5,Total releases,Total Releases Including Road Dust,Aluminum (fume or dust only),Aluminium
SUB78be5e5ff7,Total releases,Total Releases Including Road Dust,Acenaphthylene,Acenaphthylene
SUBea332bf2c2,Total releases,Total Releases Including Road Dust,Fluorene,Fluorene
SUBbe8573af08,Total releases,Total Releases Including Road Dust,i-Butyl alcohol,2-Methyl-1-propanol
SUBbb16c7f9a6,Total releases,Total Releases Including Road Dust,1-Nitropyrene,-
SUBfab650857b,Total releases,Total Releases Including Road Dust,Methanol,Methanol
SUB1ba9b13179,Total releases,Total Releases Including Road Dust,Quinoline,-
SUBd97a020c61,Total releases,Total Releases Including Road Dust,Hydrogen cyanide,-
SUBe16e4d536b,Total releases,Total Releases Including Road Dust,Fluorine,Fluorine
SUB86e1a512ca,Total releases,Total Releases Including Road Dust,Acenaphthene,Acenaphthene
SUBba10914fba,Total releases,Total Releases Including Road Dust,Acrolein,Acrolein
SUB0f1a34182b,Total releases,Total Releases Including Road Dust,Anthracene,Anthracene
SUBf8ad4d1d6f,Total releases,Total Releases Including Road Dust,Benz[a]anthracene,Benz(a)anthracene
SUBf6a1200d44,Total releases,Total Releases Including Road Dust,Benzene,Benzene
SUB358fd57ae9,Total releases,Total Releases Including Road Dust,Benzo[a]pyrene,Benzo(a)pyrene
SUBb70a3dd4db,Total releases,Total Releases Including Road Dust,Benzo[b]fluoranthene,Benzo(b)fluoranthene
SUBda3becb4db,Total releases,Total Releases Including Road Dust,Benzo[ghi]perylene,Benzo(ghi)perylene
SUB54de746958,Total releases,Total Releases Including Road Dust,Benzo[k]fluoranthene,Benzo(k)fluoranthene
SUB4d21a1be15,Total releases,Total Releases Including Road Dust,"Dibenz[a,h]anthracene","Dibenz(a,h)anthracene"
SUB19f88c9053,Total releases,Total Releases Including Road Dust,Formaldehyde,Formaldehyde
SUBcf76a85742,Total releases,Total Releases Including Road Dust,"Indeno[1,2,3-cd]pyrene","Indeno(1,2,3-cd)pyrene"
SUBe6a90e311f,Total releases,Total Releases Including Road Dust,Naphthalene,Naphtalene
SUB124addeb1c,Total releases,Total Releases Including Road Dust,Propylene,Propene
SUB74dcc33e97,Total releases,Total Releases Including Road Dust,Toluene,Toluene
SUB0eeed7bf0a,Total releases,Total Releases Including Road Dust,Xylene (all isomers),Xylene
SUBbd5fffa460,Total releases,Total Releases Including Road Dust,Formic acid,Formic acid
SUB3c437d609d,Total releases,Total Releases Including Road Dust,Chlorine,-
SUB7a970ea712,On_site_disposal,Land Fill,Chromium (and its compounds),Chromium
SUB6a303f687b,On_site_disposal,Land Fill,Copper (and its compounds),Copper
SUB3236b2d1f6,On_site_disposal,Land Treatment,Manganese (and its compounds),Manganese
SUB5c5acb6487,On_site_disposal,Land Treatment,Zinc (and its compounds),Zinc
SUBcbba5993f6,On_site_disposal,Tailings,Ammonia (total),Ammonia
SUBf3d79066c4,On_site_disposal,Tailings,Arsenic (and its compounds),Arsenic
SUB9d0059c485,On_site_disposal,Tailings,Cadmium (and its compounds),Cadmium
SUB6661ca8ead,On_site_disposal,Tailings,Chromium (and its compounds),Chromium
SUBca819caf67,On_site_disposal,Tailings,Cobalt (and its compounds),Cobalt
SUB839152bc84,On_site_disposal,Tailings,Copper (and its compounds),Copper
SUB8dc797f02c,On_site_disposal,Tailings,Cyanides (ionic),-
SUBc23371bc31,On_site_disposal,Tailings,Lead (and its compounds),Lead
SUB1d57f9a87c,On_site_disposal,Tailings,Manganese (and its compounds),Manganese
SUB29fb3b223c,On_site_disposal,Tailings,Mercury (and its compounds),Mercury
SUB10f9a513d4,On_site_disposal,Tailings,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUBe06e0ca214,On_site_disposal,Tailings,Nitrate ion in solution at pH >= 6.0,Nitrate
SUBb45932b84c,On_site_disposal,Tailings,Phosphorus (total),Phosphorus
SUB9d1f358bb4,On_site_disposal,Tailings,Thallium (and its compounds),Thallium
SUB0cb820291f,On_site_disposal,Tailings,Vanadium (and its compounds),Vanadium
SUBeb3c975da5,On_site_disposal,Tailings,Zinc (and its compounds),Zinc
SUB32d66ac0c1,On_site_disposal,Tailings,Selenium (and its compounds),Selenium
SUB03c50fbfbc,On_site_disposal,Tailings,Antimony (and its compounds),Antimony
SUB2c87427846,On_site_disposal,Tailings,Silver (and its compounds),Silver
SUB7409e822e8,On_site_disposal,Waste Rock,Arsenic (and its compounds),Arsenic
SUB640e4f19b5,On_site_disposal,Waste Rock,Cadmium (and its compounds),Cadmium
SUB69ac52ae47,On_site_disposal,Waste Rock,Cobalt (and its compounds),Cobalt
SUB605dd89c64,On_site_disposal,Waste Rock,Lead (and its compounds),Lead
SUB0a6b177a77,On_site_disposal,Waste Rock,Mercury (and its compounds),Mercury
SUBbd5c6556bb,On_site_disposal,Waste Rock,Selenium (and its compounds),Selenium
SUBa6e2700624,On_site_disposal,Waste Rock,Thallium (and its compounds),Thallium
SUBa6ebd06b25,On_site_disposal,Waste Rock,Antimony (and its compounds),Antimony
SUBfd2c9f8f32,On_site_disposal,Waste Rock,Chromium (and its compounds),Chromium
SUB0a65845683,On_site_disposal,Waste Rock,Copper (and its compounds),Copper
SUB7341292123,On_site_disposal,Waste Rock,Manganese (and its compounds),Manganese
SUB57fa699145,On_site_disposal,Waste Rock,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUB5d74d6de47,On_site_disposal,Waste Rock,Phosphorus (total),Phosphorus
SUB1cb7787f9f,On_site_disposal,Waste Rock,Vanadium (and its compounds),Vanadium
SUB58d6411ba2,On_site_disposal,Waste Rock,Zinc (and its compounds),Zinc
SUB49e5b9d221,On_site_disposal,Waste Rock,Silver (and its compounds),Silver
SUB7eb18c5ede,On_site_disposal,Waste Rock,Ammonia (total),Ammonia
SUB4478ac24a5,On_site_disposal,Waste Rock,Cyanides (ionic),-
SUB2d8bd2c8ef,On_site_disposal,Total On-Site,Ammonia (total),Ammonia
SUB4f3a8e87e9,On_site_disposal,Total On-Site,Arsenic (and its compounds),Arsenic
SUB736d5b1a25,On_site_disposal,Total On-Site,Cadmium (and its compounds),Cadmium
SUB89c80f37cd,On_site_disposal,Total On-Site,Chromium (and its compounds),Chromium
SUB525a967d46,On_site_disposal,Total On-Site,Cobalt (and its compounds),Cobalt
SUB10684dc600,On_site_disposal,Total On-Site,Copper (and its compounds),Copper
SUBc9273a3469,On_site_disposal,Total On-Site,Cyanides (ionic),-
SUB0e2eb63a42,On_site_disposal,Total On-Site,Lead (and its compounds),Lead
SUB04d3339c2b,On_site_disposal,Total On-Site,Manganese (and its compounds),Manganese
SUBb02c485d31,On_site_disposal,Total On-Site,Mercury (and its compounds),Mercury
SUBeb0c6156fb,On_site_disposal,Total On-Site,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUB22c4e39e40,On_site_disposal,Total On-Site,Nitrate ion in solution at pH >= 6.0,Nitrate
SUB99424155be,On_site_disposal,Total On-Site,Phosphorus (total),Phosphorus
SUB7c8ce85df1,On_site_disposal,Total On-Site,Thallium (and its compounds),Thallium
SUB6f678b5750,On_site_disposal,Total On-Site,Vanadium (and its compounds),Vanadium
SUBf38c00d7a8,On_site_disposal,Total On-Site,Zinc (and its compounds),Zinc
SUB2d4ce08094,On_site_disposal,Total On-Site,Selenium (and its compounds),Selenium
SUB92636f459b,On_site_disposal,Total On-Site,Antimony (and its compounds),Antimony
SUBb4d6156f36,On_site_disposal,Total On-Site,Silver (and its compounds),Silver
SUB4f74c7de0d,Off_site_disposal,Land Fill,Arsenic (and its compounds),Arsenic
SUBc4f39f2c73,Off_site_disposal,Land Fill,Cadmium (and its compounds),Cadmium
SUB517c59eef9,Off_site_disposal,Land Fill,Cobalt (and its compounds),Cobalt
SUBd3849f9fd4,Off_site_disposal,Land Fill,Copper (and its compounds),Copper
SUB27b5e0b1c5,Off_site_disposal,Land Fill,Lead (and its compounds),Lead
SUBbcb636b47b,Off_site_disposal,Land Fill,Manganese (and its compounds),Manganese
SUBac27175412,Off_site_disposal,Land Fill,Mercury (and its compounds),Mercury
SUBeeb49ac818,Off_site_disposal,Land Fill,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUBb4a7631c46,Off_site_disposal,Land Fill,Selenium (and its compounds),Selenium
SUB86732f820b,Off_site_disposal,Land Fill,Thallium (and its compounds),Thallium
SUB2ee1d3b2c3,Off_site_disposal,Land Fill,Vanadium (and its compounds),Vanadium
SUBb915b2d9ff,Off_site_disposal,Land Fill,Zinc (and its compounds),Zinc
SUB35b0b6998c,Off_site_disposal,Storage,Dioxins and furans - total,-
SUBa160783f5e,Off_site_disposal,Tailings,Arsenic (and its compounds),Arsenic
SUB75731316d3,Off_site_disposal,Tailings,Cadmium (and its compounds),Cadmium
SUBbd52b2227f,Off_site_disposal,Tailings,Chromium (and its compounds),Chromium
SUBe0c0ffca5e,Off_site_disposal,Tailings,Cobalt (and its compounds),Cobalt
SUB71c743e619,Off_site_disposal,Tailings,Copper (and its compounds),Copper
SUB4512e6cbc1,Off_site_disposal,Tailings,Lead (and its compounds),Lead
SUBd7ea570687,Off_site_disposal,Tailings,Manganese (and its compounds),Manganese
SUBfb3c9b24ce,Off_site_disposal,Tailings,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUBb5a11162b4,Off_site_disposal,Tailings,Vanadium (and its compounds),Vanadium
SUB0b865ef7e6,Off_site_disposal,Tailings,Zinc (and its compounds),Zinc
SUB8bda7ba57a,Off_site_disposal,Waste Rock,Arsenic (and its compounds),Arsenic
SUBeee0635bd9,Off_site_disposal,Waste Rock,Cadmium (and its compounds),Cadmium
SUBb99ea85bd2,Off_site_disposal,Waste Rock,Cobalt (and its compounds),Cobalt
SUB4992541e03,Off_site_disposal,Waste Rock,Lead (and its compounds),Lead
SUB5c2de7da2f,Off_site_disposal,Waste Rock,Selenium (and its compounds),Selenium
SUB955141bad9,Off_site_disposal,Waste Rock,Thallium (and its compounds),Thallium
SUB5ae42059a2,Off_site_disposal,Total Off-Site,Arsenic (and its compounds),Arsenic
SUB8c272d2936,Off_site_disposal,Total Off-Site,Cadmium (and its compounds),Cadmium
SUBbaa4e644e2,Off_site_disposal,Total Off-Site,Chromium (and its compounds),Chromium
SUB547ddfbe12,Off_site_disposal,Total Off-Site,Cobalt (and its compounds),Cobalt
SUBdb1eeed868,Off_site_disposal,Total Off-Site,Copper (and its compounds),Copper
SUB1a874d113a,Off_site_disposal,Total Off-Site,Lead (and its compounds),Lead
SUBb04182dfe7,Off_site_disposal,Total Off-Site,Manganese (and its compounds),Manganese
SUBb06c99876c,Off_site_disposal,Total Off-Site,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUBd2c14258d4,Off_site_disposal,Total Off-Site,Vanadium (and its compounds),Vanadium
SUB1ff7701327,Off_site_disposal,Total Off-Site,Zinc (and its compounds),Zinc
SUBa4b91b3b06,Off_site_disposal,Total Off-Site,Dioxins and furans - total,-
SUBf9d6e1ec69,Off_site_disposal,Total Off-Site,Selenium (and its compounds),Selenium
SUBa020d77cb9,Off_site_disposal,Total Off-Site,Thallium (and its compounds),Thallium
SUBf71467c31e,Off_site_disposal,Total Off-Site,Mercury (and its compounds),Mercury
SUBed5bf42163,Transfers for Treatment,Chemical Treatment,Ethylene glycol,-
SUB428d37495f,Transfers for Treatment,Total,Ethylene glycol,-
SUB603dd08139,Total disposal,Total,Ammonia (total),Ammonia
SUB88b6d41ab5,Total disposal,Total,Arsenic (and its compounds),Arsenic
SUB6c4bc7e382,Total disposal,Total,Cadmium (and its compounds),Cadmium
SUBee9f1b7038,Total disposal,Total,Chromium (and its compounds),Chromium
SUB031bc55650,Total disposal,Total,Cobalt (and its compounds),Cobalt
SUB84f6492ed8,Total disposal,Total,Copper (and its compounds),Copper
SUB60e8773425,Total disposal,Total,Cyanides (ionic),-
SUB69a30fab5c,Total disposal,Total,Lead (and its compounds),Lead
SUB74534cc2bf,Total disposal,Total,Manganese (and its compounds),Manganese
SUB61d878220c,Total disposal,Total,Mercury (and its compounds),Mercury
SUBa70c845ccb,Total disposal,Total,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUB71d9ce28b5,Total disposal,Total,Nitrate ion in solution at pH >= 6.0,Nitrate
SUBb77ce95483,Total disposal,Total,Phosphorus (total),Phosphorus
SUB14f7b5cd25,Total disposal,Total,Thallium (and its compounds),Thallium
SUB0a441dd999,Total disposal,Total,Vanadium (and its compounds),Vanadium
SUB113b70106a,Total disposal,Total,Zinc (and its compounds),Zinc
SUBcf19055313,Total disposal,Total,Selenium (and its compounds),Selenium
SUBc6b9b77d15,Total disposal,Total,Antimony (and its compounds),Antimony
SUB141ad502aa,Total disposal,Total,Silver (and its compounds),Silver
SUBdf244e083c,Total disposal,Total,Ethylene glycol,-
SUB3a03e51490,Total disposal,Total,Dioxins and furans - total,-
SUB3184771d61,Transfers for recycling,Energy Recovery,Ethylene glycol,-
SUB33a5e030e4,Transfers for recycling,Solvent Recovery,Ethylene glycol,-
SUB399969cad2,Transfers for recycling,Organic Compound Recovery,Ethylene glycol,-
SUB01f4e778bf,Transfers for recycling,Metal Recovery,Chromium (and its compounds),Chromium
SUBfb1f32fb5d,Transfers for recycling,Metal Recovery,Manganese (and its compounds),Manganese
SUB5ea897fe05,Transfers for recycling,Metal Recovery,Copper (and its compounds),Copper
SUB173e57aae4,Transfers for recycling,Metal Recovery,Lead (and its compounds),Lead
SUB58e484e0b5,Transfers for recycling,Metal Recovery,Mercury (and its compounds),Mercury
SUB0aea7b02a4,Transfers for recycling,Metal Recovery,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUB1023431cb5,Transfers for recycling,Metal Recovery,Phosphorus (total),Phosphorus
SUBb9196e76e6,Transfers for recycling,Used Oil Recovery,Arsenic (and its compounds),Arsenic
SUB0953507796,Transfers for recycling,Used Oil Recovery,Cadmium (and its compounds),Cadmium
SUB7f5d9ae94e,Transfers for recycling,Used Oil Recovery,Lead (and its compounds),Lead
SUBf79f5a2794,Transfers for recycling,Used Oil Recovery,Zinc (and its compounds),Zinc
SUBbd49792651,Transfers for recycling,Used Oil Recovery,"PAHs, total unspeciated","Hydrocarbons, aromatic"
SUB18e03951c8,Transfers for recycling,Other,Ethylene glycol,-
SUB9d437d757a,Transfers for recycling,Total,Chromium (and its compounds),Chromium
SUB47d839b061,Transfers for recycling,Total,Manganese (and its compounds),Manganese
SUB34c07117c7,Transfers for recycling,Total,Arsenic (and its compounds),Arsenic
SUBe616adfd64,Transfers for recycling,Total,Cadmium (and its compounds),Cadmium
SUB756587e0a6,Transfers for recycling,Total,Lead (and its compounds),Lead
SUB2ce5c7d5f3,Transfers for recycling,Total,Zinc (and its compounds),Zinc
SUB51a903f9fb,Transfers for recycling,Total,Copper (and its compounds),Copper
SUB77f554b09f,Transfers for recycling,Total,Ethylene glycol,-
SUB21bf0cd325,Transfers for recycling,Total,Mercury (and its compounds),Mercury
SUB3cfce20054,Transfers for recycling,Total,"PAHs, total unspeciated","Hydrocarbons, aromatic"
SUB3e2392447d,Transfers for recycling,Total,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUB91106964f9,Transfers for recycling,Total,Phosphorus (total),Phosphorus
SUBbb081c4745,Grand total,"Total Releases, Disposals and Transfers for Recycling",Carbon monoxide,"Carbon monoxide, fossil"
SUB28a3c80cf5,Grand total,"Total Releases, Disposals and Transfers for Recycling",Nitrogen oxides (expressed as nitrogen dioxide),Nitrogen oxides
SUB2ab761ba7f,Grand total,"Total Releases, Disposals and Transfers for Recycling",PM10 - Particulate Matter <= 10 Micrometers,-
